측정월,지점,강수량(mm)
201501,108,11.3
201502,108,22.7
201503,108,9.6
201504,108,80.5
201505,108,28.9
201506,108,99
201507,108,226
201508,108,72.9
201509,108,26
201510,108,81.5
201511,108,104.6
201512,108,29.1
201601,108,1
201602,108,47.6
201603,108,40.5
201604,108,76.8
201605,108,160.5
201606,108,54.4
201607,108,358.2
201608,108,67.1
201609,108,33
201610,108,74.8
201611,108,16.7
201612,108,61.1
201701,108,14.9
201702,108,11.1
201703,108,7.9
201704,108,61.6
201705,108,16.1
201706,108,66.6
201707,108,621
201708,108,297
201709,108,35
201710,108,26.5
201711,108,40.7
201712,108,34.8
201801,108,8.5
201802,108,29.6
201803,108,49.5
201804,108,130.3
201805,108,222
201806,108,171.5
201807,108,185.6
201808,108,202.6
201809,108,68.5
201810,108,120.5
201811,108,79.1
201812,108,16.4
201901,108,0
201902,108,23.8
201903,108,26.8
201904,108,47.3
201905,108,37.8
201906,108,74
201907,108,194.4
201908,108,190.5
201909,108,139.8
201910,108,55.5
201911,108,78.8
201912,108,22.6
202001,108,60.5
202002,108,53.1
202003,108,16.3
202004,108,16.9
202005,108,112.4
202006,108,139.6
202007,108,270.4
202008,108,675.7
202009,108,181.5
202010,108,0
202011,108,120.1
202012,108,4.6
202101,108,18.9
202102,108,7.1
202103,108,110.9
202104,108,124.1
202105,108,183.1
202106,108,104.6
202107,108,168.3
202108,108,211.2
202109,108,131
202110,108,57
202111,108,62.4
202112,108,7.9
202201,108,5.5
202202,108,4.7
202203,108,102.6
202204,108,20.4
202205,108,7.5
202206,108,393.8
202207,108,252.3
202208,108,564.8
202209,108,201.5
202210,108,124.1
202211,108,84.5
202212,108,13.6
202301,108,47.9
202302,108,1
202303,108,10.5
202304,108,96.9
202305,108,155.6
202306,108,195.6
202307,108,459.9
202308,108,298.1
202309,108,134.5
202310,108,31
202311,108,81.9
202312,108,85.9
202401,108,18.9
202402,108,74.7
202403,108,29.9
202404,108,33.2
202405,108,125.1
202406,108,115.9
202407,108,557.3
202408,108,72.8
202409,108,143.9
202410,108,74
202411,108,60
202412,108,5.7
202501,108,19.5
202502,108,5.2
202503,108,38.2
202504,108,94.6
